"Jul 26, 2019 13:31:04.310222000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:04.636204000 AEST","bc:54:36:06:b0:8c","uniwide", ainsworth
"Jul 26, 2019 13:31:04.646251000 AEST","bc:54:36:06:b0:8c","uniwide", ainsworth
"Jul 26, 2019 13:31:04.660181000 AEST","bc:54:36:06:b0:8c","uniwide", ainsworth
"Jul 26, 2019 13:31:04.670230000 AEST","bc:54:36:06:b0:8c","uniwide", ainsworth
"Jul 26, 2019 13:31:04.750313000 AEST","34:12:98:18:99:6a","uniwide", ainsworth
"Jul 26, 2019 13:31:05.136914000 AEST","da:a1:19:5e:5b:88","uniwide", ainsworth
"Jul 26, 2019 13:31:05.140074000 AEST","da:a1:19:5e:5b:88","", ainsworth
"Jul 26, 2019 13:31:05.156977000 AEST","da:a1:19:5e:5b:88","uniwide", ainsworth
"Jul 26, 2019 13:31:05.157261000 AEST","da:a1:19:5e:5b:88","", ainsworth
"Jul 26, 2019 13:31:05.171492000 AEST","8e:81:50:02:91:fa","", ainsworth
"Jul 26, 2019 13:31:05.185490000 AEST","da:a1:19:5e:5b:88","uniwide", ainsworth
"Jul 26, 2019 13:31:05.185591000 AEST","da:a1:19:5e:5b:88","", ainsworth
"Jul 26, 2019 13:31:05.191755000 AEST","8e:81:50:02:91:fa","", ainsworth
"Jul 26, 2019 13:31:05.205080000 AEST","da:a1:19:5e:5b:88","uniwide", ainsworth
"Jul 26, 2019 13:31:05.205224000 AEST","da:a1:19:5e:5b:88","", ainsworth
"Jul 26, 2019 13:31:05.212957000 AEST","8e:81:50:02:91:fa","", ainsworth
"Jul 26, 2019 13:31:05.232680000 AEST","8e:81:50:02:91:fa","", ainsworth
"Jul 26, 2019 13:31:05.624343000 AEST","46:e9:18:d3:58:ae","", ainsworth
"Jul 26, 2019 13:31:05.644483000 AEST","46:e9:18:d3:58:ae","", ainsworth
"Jul 26, 2019 13:31:05.664405000 AEST","46:e9:18:d3:58:ae","", ainsworth
"Jul 26, 2019 13:31:05.684509000 AEST","46:e9:18:d3:58:ae","", ainsworth
"Jul 26, 2019 13:31:06.435225000 AEST","02:72:5b:53:b6:8a","", ainsworth
"Jul 26, 2019 13:31:06.475633000 AEST","02:72:5b:53:b6:8a","", ainsworth
"Jul 26, 2019 13:31:06.517520000 AEST","02:72:5b:53:b6:8a","", ainsworth
"Jul 26, 2019 13:31:06.557638000 AEST","02:72:5b:53:b6:8a","", ainsworth
"Jul 26, 2019 13:31:07.569805000 AEST","70:ef:00:68:66:43","uniwide", ainsworth
"Jul 26, 2019 13:31:07.826483000 AEST","8c:f5:a3:e7:b0:22","", ainsworth
"Jul 26, 2019 13:31:07.866586000 AEST","8c:f5:a3:e7:b0:22","", ainsworth
"Jul 26, 2019 13:31:07.911488000 AEST","8c:f5:a3:e7:b0:22","", ainsworth
"Jul 26, 2019 13:31:07.951803000 AEST","8c:f5:a3:e7:b0:22","", ainsworth
"Jul 26, 2019 13:31:07.966301000 AEST","d4:67:d3:e8:49:83","", ainsworth
"Jul 26, 2019 13:31:07.984443000 AEST","d4:67:d3:e8:49:83","", ainsworth
"Jul 26, 2019 13:31:08.016404000 AEST","5c:09:47:a3:3c:0f","eduroam", ainsworth
"Jul 26, 2019 13:31:08.061187000 AEST","d4:67:d3:e8:49:83","", ainsworth
