frame.time,wlan.sa,wlan.ssid, seclab
"Jul 26, 2019 13:20:39.307148000 AEST","d8:8f:76:aa:64:3f","eduroam", seclab
"Jul 26, 2019 13:20:39.317372000 AEST","d8:8f:76:aa:64:3f","eduroam", seclab
"Jul 26, 2019 13:20:39.906239000 AEST","60:92:17:96:84:1f","uniwide", seclab
"Jul 26, 2019 13:20:39.935064000 AEST","34:08:bc:49:09:22","uniwide", seclab
"Jul 26, 2019 13:20:40.181260000 AEST","6c:c7:ec:c2:ce:91","", seclab
"Jul 26, 2019 13:20:41.378955000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:20:41.399074000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:20:41.882700000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:20:41.901929000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:20:42.363050000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:20:44.149806000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:44.402333000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:20:44.471540000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:20:44.501320000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:20:44.555510000 AEST","f8:2d:7c:a3:87:04","", seclab
"Jul 26, 2019 13:20:44.698711000 AEST","32:0a:24:23:79:35","", seclab
"Jul 26, 2019 13:20:44.789109000 AEST","c0:e8:62:3f:60:1f","uniwide", seclab
"Jul 26, 2019 13:20:44.865419000 AEST","58:00:e3:a4:83:41","uniwide", seclab
"Jul 26, 2019 13:20:44.875582000 AEST","58:00:e3:a4:83:41","uniwide", seclab
"Jul 26, 2019 13:20:44.885779000 AEST","58:00:e3:a4:83:41","uniwide", seclab
"Jul 26, 2019 13:20:44.899398000 AEST","34:36:3b:88:e7:bc","uniwide", seclab
"Jul 26, 2019 13:20:45.015795000 AEST","34:36:3b:88:e7:bc","uniwide", seclab
"Jul 26, 2019 13:20:45.085406000 AEST","88:19:08:c8:a9:71","uniwide", seclab
"Jul 26, 2019 13:20:45.095666000 AEST","88:19:08:c8:a9:71","uniwide", seclab
"Jul 26, 2019 13:20:45.135127000 AEST","34:36:3b:88:e7:bc","uniwide", seclab
"Jul 26, 2019 13:20:45.146526000 AEST","34:08:bc:49:09:22","uniwide", seclab
"Jul 26, 2019 13:20:45.150712000 AEST","34:36:3b:88:e7:bc","uniwide", seclab
"Jul 26, 2019 13:20:45.170012000 AEST","34:08:bc:49:09:22","uniwide", seclab
"Jul 26, 2019 13:20:45.237565000 AEST","8c:85:90:87:78:ee","", seclab
"Jul 26, 2019 13:20:45.352570000 AEST","f8:23:b2:7d:31:af","", seclab
"Jul 26, 2019 13:20:45.387426000 AEST","58:00:e3:a4:83:41","uniwide", seclab
"Jul 26, 2019 13:20:46.362114000 AEST","62:16:d2:79:17:11","", seclab
"Jul 26, 2019 13:20:46.375158000 AEST","f4:06:16:3a:7d:e1","uniwide", seclab
"Jul 26, 2019 13:20:46.396074000 AEST","f4:06:16:3a:7d:e1","uniwide", seclab
"Jul 26, 2019 13:20:46.995590000 AEST","32:49:cc:6f:f6:a4","", seclab
"Jul 26, 2019 13:20:47.878255000 AEST","0a:9a:25:22:2a:3a","", seclab
"Jul 26, 2019 13:20:47.930792000 AEST","0a:9a:25:22:2a:3a","", seclab
"Jul 26, 2019 13:20:48.660639000 AEST","f4:06:16:3a:7d:e1","uniwide", seclab
"Jul 26, 2019 13:20:48.686876000 AEST","f4:06:16:3a:7d:e1","uniwide", seclab
"Jul 26, 2019 13:20:49.029064000 AEST","f0:18:98:56:04:6c","", seclab
"Jul 26, 2019 13:20:49.110773000 AEST","f0:18:98:56:04:6c","", seclab
"Jul 26, 2019 13:20:49.195306000 AEST","f0:18:98:56:04:6c","", seclab
"Jul 26, 2019 13:20:49.351212000 AEST","d2:ff:90:b6:01:84","", seclab
"Jul 26, 2019 13:20:49.366401000 AEST","d2:ff:90:b6:01:84","", seclab
"Jul 26, 2019 13:20:49.377579000 AEST","d2:ff:90:b6:01:84","", seclab
"Jul 26, 2019 13:20:49.386668000 AEST","d2:ff:90:b6:01:84","", seclab
"Jul 26, 2019 13:20:49.479457000 AEST","b8:27:eb:13:52:0a","", seclab
