frame.time,wlan.sa,wlan.ssid, seclab
"Jul 26, 2019 13:26:35.337796000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:35.639810000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:35.691458000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:35.702269000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:35.738814000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:36.533510000 AEST","68:fb:7e:a2:37:6f","", seclab
"Jul 26, 2019 13:26:36.543969000 AEST","68:fb:7e:a2:37:6f","", seclab
"Jul 26, 2019 13:26:36.873044000 AEST","ac:5f:3e:2b:ab:45","A1rWaue55", seclab
"Jul 26, 2019 13:26:36.874407000 AEST","ac:5f:3e:2b:ab:45","uniwide", seclab
"Jul 26, 2019 13:26:37.003143000 AEST","ac:5f:3e:2b:ab:45","", seclab
"Jul 26, 2019 13:26:37.044454000 AEST","ac:5f:3e:2b:ab:45","uniwide", seclab
"Jul 26, 2019 13:26:37.256825000 AEST","ac:5f:3e:2b:ab:45","", seclab
"Jul 26, 2019 13:26:37.298536000 AEST","ac:5f:3e:2b:ab:45","A1rWaue55", seclab
"Jul 26, 2019 13:26:37.299935000 AEST","ac:5f:3e:2b:ab:45","uniwide", seclab
"Jul 26, 2019 13:26:37.304353000 AEST","ac:5f:3e:2b:ab:45","", seclab
"Jul 26, 2019 13:26:37.342791000 AEST","ac:5f:3e:2b:ab:45","A1rWaue55", seclab
"Jul 26, 2019 13:26:37.427115000 AEST","ac:5f:3e:2b:ab:45","", seclab
"Jul 26, 2019 13:26:37.540587000 AEST","2c:9e:fc:a1:62:8d","BJNPSETUP", seclab
"Jul 26, 2019 13:26:37.931457000 AEST","ac:5f:3e:2b:ab:45","uniwide", seclab
"Jul 26, 2019 13:26:37.933097000 AEST","ac:5f:3e:2b:ab:45","", seclab
"Jul 26, 2019 13:26:38.013390000 AEST","de:eb:d7:43:d7:a6","", seclab
"Jul 26, 2019 13:26:38.071628000 AEST","de:eb:d7:43:d7:a6","", seclab
"Jul 26, 2019 13:26:38.752850000 AEST","6c:c7:ec:33:61:be","uniwide", seclab
"Jul 26, 2019 13:26:38.790645000 AEST","6c:c7:ec:33:61:be","uniwide", seclab
"Jul 26, 2019 13:26:39.891163000 AEST","6c:c7:ec:33:61:be","uniwide", seclab
"Jul 26, 2019 13:26:40.733730000 AEST","68:fb:7e:a2:37:6f","uniwide", seclab
"Jul 26, 2019 13:26:40.743279000 AEST","68:fb:7e:a2:37:6f","uniwide", seclab
"Jul 26, 2019 13:26:40.931041000 AEST","bc:ec:5d:0e:f2:8e","uniwide", seclab
"Jul 26, 2019 13:26:40.941275000 AEST","bc:ec:5d:0e:f2:8e","uniwide", seclab
"Jul 26, 2019 13:26:42.558286000 AEST","78:4f:43:5f:19:fb","", seclab
"Jul 26, 2019 13:26:42.665666000 AEST","90:e7:c4:c9:53:1d","", seclab
"Jul 26, 2019 13:26:42.935395000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:42.964098000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:42.966274000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:42.988740000 AEST","b4:f1:da:b2:42:b4","", seclab
"Jul 26, 2019 13:26:42.994894000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:42.996034000 AEST","48:51:b7:e8:59:cc","eduroam", seclab
"Jul 26, 2019 13:26:42.997112000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:43.343623000 AEST","34:08:bc:6a:10:3c","uniwide", seclab
"Jul 26, 2019 13:26:43.463209000 AEST","04:d3:b0:42:b9:ef","uniwide", seclab
"Jul 26, 2019 13:26:43.534450000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:26:43.550405000 AEST","f4:f5:24:fe:54:5a","", seclab
"Jul 26, 2019 13:26:43.556688000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:26:43.575556000 AEST","f4:f5:24:fe:54:5a","", seclab
"Jul 26, 2019 13:26:43.628328000 AEST","f4:f5:24:97:d9:9b","", seclab
"Jul 26, 2019 13:26:43.708677000 AEST","f4:f5:24:3e:f7:79","", seclab
"Jul 26, 2019 13:26:43.748294000 AEST","02:fb:5f:6f:f4:61","", seclab
"Jul 26, 2019 13:26:43.867657000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:43.887127000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:43.910127000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:43.930475000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:43.953419000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:43.973899000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:44.075035000 AEST","18:65:90:ce:af:29","One Country One Voice", seclab
"Jul 26, 2019 13:26:44.075041000 AEST","18:65:90:ce:af:29","", seclab
"Jul 26, 2019 13:26:44.123187000 AEST","90:e7:c4:c9:53:1d","", seclab
"Jul 26, 2019 13:26:44.205517000 AEST","90:e7:c4:c9:53:1d","", seclab
"Jul 26, 2019 13:26:44.247767000 AEST","90:e7:c4:c9:53:1d","", seclab
"Jul 26, 2019 13:26:44.933729000 AEST","ec:9b:f3:e8:44:42","eduroam", seclab
"Jul 26, 2019 13:26:44.954615000 AEST","ec:9b:f3:e8:44:42","eduroam", seclab
"Jul 26, 2019 13:26:45.038864000 AEST","34:36:3b:88:e7:bc","uniwide", seclab
"Jul 26, 2019 13:26:45.043308000 AEST","b8:c1:11:7d:23:77","uniwide", seclab
"Jul 26, 2019 13:26:45.053516000 AEST","b8:c1:11:7d:23:77","uniwide", seclab
"Jul 26, 2019 13:26:45.155001000 AEST","34:36:3b:88:e7:bc","uniwide", seclab
"Jul 26, 2019 13:26:45.264242000 AEST","34:36:3b:88:e7:bc","uniwide", seclab
"Jul 26, 2019 13:26:45.351247000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:45.372849000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:45.405555000 AEST","b8:c1:11:7d:23:77","uniwide", seclab
"Jul 26, 2019 13:26:45.689393000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:45.728495000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:45.758393000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:46.180476000 AEST","fe:6d:00:02:d7:0e","", seclab
"Jul 26, 2019 13:26:46.200766000 AEST","fe:6d:00:02:d7:0e","", seclab
"Jul 26, 2019 13:26:46.250391000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:26:46.415041000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:26:46.446269000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:26:46.471098000 AEST","08:c5:e1:9b:9c:4e","", seclab
"Jul 26, 2019 13:26:47.349054000 AEST","c0:e8:62:3f:60:1f","", seclab
"Jul 26, 2019 13:26:51.126395000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:26:51.163808000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:26:51.248848000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:26:51.337627000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:26:51.969594000 AEST","f4:1b:a1:1c:61:27","", seclab
"Jul 26, 2019 13:26:52.532502000 AEST","b8:31:b5:78:07:02","", seclab
"Jul 26, 2019 13:26:52.614612000 AEST","b8:31:b5:78:07:02","", seclab
"Jul 26, 2019 13:26:52.696782000 AEST","b8:31:b5:78:07:02","", seclab
"Jul 26, 2019 13:26:52.696790000 AEST","b8:31:b5:78:07:02","", seclab
"Jul 26, 2019 13:26:52.947641000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:52.949780000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:52.975862000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:52.977974000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:53.006621000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:53.007775000 AEST","48:51:b7:e8:59:cc","eduroam", seclab
"Jul 26, 2019 13:26:53.009492000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:26:53.775900000 AEST","e2:55:1d:10:35:1a","", seclab
"Jul 26, 2019 13:26:54.087932000 AEST","90:e7:c4:c9:53:1d","", seclab
"Jul 26, 2019 13:26:54.223776000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:26:54.606282000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:26:54.610376000 AEST","60:92:17:96:84:1f","uniwide", seclab
"Jul 26, 2019 13:26:54.626130000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:26:54.721293000 AEST","9c:b6:d0:ba:69:3d","uniwide", seclab
"Jul 26, 2019 13:26:54.934316000 AEST","9c:b6:d0:ba:69:3d","uniwide", seclab
"Jul 26, 2019 13:26:55.086357000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:55.106770000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:55.129672000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:55.149988000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:55.171971000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:55.192353000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:55.344578000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:26:55.395434000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:55.418310000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:55.720572000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:55.757100000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:55.769185000 AEST","70:81:eb:36:e1:b9","uniwide", seclab
"Jul 26, 2019 13:26:55.789545000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:55.816805000 AEST","60:92:17:96:84:1f","uniwide", seclab
"Jul 26, 2019 13:26:55.819588000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:26:56.268109000 AEST","da:a1:19:db:f9:9c","", seclab
"Jul 26, 2019 13:26:56.297127000 AEST","0e:ba:ed:34:45:77","", seclab
"Jul 26, 2019 13:26:56.509712000 AEST","66:73:5d:07:dc:d2","", seclab
"Jul 26, 2019 13:26:56.680330000 AEST","78:4f:43:5f:19:fb","", seclab
"Jul 26, 2019 13:26:56.713625000 AEST","66:73:5d:07:dc:d2","", seclab
"Jul 26, 2019 13:26:56.734845000 AEST","66:73:5d:07:dc:d2","", seclab
"Jul 26, 2019 13:26:56.772315000 AEST","78:4f:43:5f:19:fb","", seclab
"Jul 26, 2019 13:26:56.872719000 AEST","78:4f:43:5f:19:fb","", seclab
"Jul 26, 2019 13:26:57.550846000 AEST","bc:ec:5d:1e:bc:a4","uniwide", seclab
"Jul 26, 2019 13:26:57.862333000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:26:58.792049000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:27:00.790661000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:00.811220000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:00.917440000 AEST","b4:f1:da:b2:42:b4","uniwide", seclab
"Jul 26, 2019 13:27:00.938407000 AEST","d8:f2:ca:0a:3c:00","DIRECT-", seclab
"Jul 26, 2019 13:27:01.348039000 AEST","d8:f2:ca:0a:3c:00","DIRECT-", seclab
"Jul 26, 2019 13:27:01.449280000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:27:01.757647000 AEST","d8:f2:ca:0a:3c:00","DIRECT-", seclab
"Jul 26, 2019 13:27:02.015621000 AEST","f0:18:98:56:04:6c","", seclab
"Jul 26, 2019 13:27:02.167238000 AEST","d8:f2:ca:0a:3c:00","DIRECT-", seclab
"Jul 26, 2019 13:27:02.215811000 AEST","f0:18:98:56:04:6c","", seclab
"Jul 26, 2019 13:27:02.463590000 AEST","4c:1a:3d:70:bb:44","", seclab
"Jul 26, 2019 13:27:02.577078000 AEST","d8:f2:ca:0a:3c:00","DIRECT-", seclab
"Jul 26, 2019 13:27:02.611908000 AEST","70:81:eb:36:e1:b9","uniwide", seclab
"Jul 26, 2019 13:27:02.814738000 AEST","e2:55:1d:10:35:1a","", seclab
"Jul 26, 2019 13:27:02.987558000 AEST","48:51:b7:e8:59:cc","eduroam", seclab
"Jul 26, 2019 13:27:03.047940000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:27:03.050601000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:27:03.396564000 AEST","d8:f2:ca:0a:3c:00","DIRECT-", seclab
"Jul 26, 2019 13:27:03.426824000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:27:03.455401000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:27:03.482793000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:27:03.734787000 AEST","ec:9b:f3:e8:44:42","eduroam", seclab
"Jul 26, 2019 13:27:03.754288000 AEST","ec:9b:f3:e8:44:42","eduroam", seclab
"Jul 26, 2019 13:27:03.805616000 AEST","d8:f2:ca:0a:3c:00","DIRECT-", seclab
"Jul 26, 2019 13:27:05.281877000 AEST","f6:26:35:43:2e:4d","", seclab
"Jul 26, 2019 13:27:05.302066000 AEST","f6:26:35:43:2e:4d","", seclab
"Jul 26, 2019 13:27:05.403239000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:05.431313000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:05.526613000 AEST","da:a1:19:1b:fa:a4","", seclab
"Jul 26, 2019 13:27:05.678433000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:27:05.720611000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:05.747989000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:05.817223000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:05.965086000 AEST","98:5f:d3:e6:32:32","", seclab
"Jul 26, 2019 13:27:06.076622000 AEST","98:5f:d3:e6:32:32","", seclab
"Jul 26, 2019 13:27:06.187582000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:06.404226000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.424571000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.447804000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.467808000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.490418000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.509979000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.532700000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.552698000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.575628000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.596340000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.639074000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.664829000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.672889000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:27:06.695648000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:06.877407000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:27:06.891024000 AEST","2c:9e:fc:a1:62:8d","BJNPSETUP", seclab
"Jul 26, 2019 13:27:06.905802000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:27:07.299430000 AEST","5c:09:47:a3:3c:0f","eduroam", seclab
"Jul 26, 2019 13:27:09.468042000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:27:10.536140000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:27:10.550385000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:27:10.768530000 AEST","ac:5f:3e:2b:ab:45","A1rWaue55", seclab
"Jul 26, 2019 13:27:10.769902000 AEST","ac:5f:3e:2b:ab:45","uniwide", seclab
"Jul 26, 2019 13:27:10.771448000 AEST","ac:5f:3e:2b:ab:45","", seclab
"Jul 26, 2019 13:27:10.808464000 AEST","ac:5f:3e:2b:ab:45","A1rWaue55", seclab
"Jul 26, 2019 13:27:10.809816000 AEST","ac:5f:3e:2b:ab:45","uniwide", seclab
"Jul 26, 2019 13:27:10.811695000 AEST","ac:5f:3e:2b:ab:45","", seclab
"Jul 26, 2019 13:27:10.857043000 AEST","ac:5f:3e:2b:ab:45","uniwide", seclab
"Jul 26, 2019 13:27:10.981936000 AEST","ac:5f:3e:2b:ab:45","uniwide", seclab
"Jul 26, 2019 13:27:11.526968000 AEST","78:4f:43:5f:19:fb","", seclab
"Jul 26, 2019 13:27:11.605682000 AEST","88:66:a5:c1:3c:c0","eduroam", seclab
"Jul 26, 2019 13:27:11.894197000 AEST","cc:61:e5:c9:d7:64","", seclab
"Jul 26, 2019 13:27:11.931415000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:11.952552000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:11.996054000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:12.017975000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:12.038456000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:12.147806000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:12.171111000 AEST","3c:28:6d:1d:bf:48","", seclab
"Jul 26, 2019 13:27:12.351996000 AEST","3c:28:6d:1d:bf:48","", seclab
"Jul 26, 2019 13:27:12.805470000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:27:12.867867000 AEST","f8:2d:7c:a3:87:04","eduroam", seclab
"Jul 26, 2019 13:27:12.898043000 AEST","f8:2d:7c:a3:87:04","eduroam", seclab
"Jul 26, 2019 13:27:13.030719000 AEST","ae:d0:f7:bb:50:ed","", seclab
"Jul 26, 2019 13:27:13.046874000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:27:13.048056000 AEST","48:51:b7:e8:59:cc","eduroam", seclab
"Jul 26, 2019 13:27:13.049431000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:27:14.217904000 AEST","90:e7:c4:c9:53:1d","", seclab
"Jul 26, 2019 13:27:14.589580000 AEST","7e:57:67:44:f8:f6","", seclab
"Jul 26, 2019 13:27:14.609420000 AEST","7e:57:67:44:f8:f6","", seclab
"Jul 26, 2019 13:27:14.631205000 AEST","7e:57:67:44:f8:f6","", seclab
"Jul 26, 2019 13:27:14.866927000 AEST","da:a1:19:37:69:19","eduroam", seclab
"Jul 26, 2019 13:27:14.866932000 AEST","da:a1:19:37:69:19","", seclab
"Jul 26, 2019 13:27:14.886766000 AEST","da:a1:19:37:69:19","eduroam", seclab
"Jul 26, 2019 13:27:14.907520000 AEST","b8:b2:f8:84:db:08","uniwide", seclab
"Jul 26, 2019 13:27:14.918371000 AEST","b8:b2:f8:84:db:08","uniwide", seclab
"Jul 26, 2019 13:27:15.267986000 AEST","b8:c1:11:7b:86:b3","eduroam", seclab
"Jul 26, 2019 13:27:15.278180000 AEST","b8:c1:11:7b:86:b3","eduroam", seclab
"Jul 26, 2019 13:27:15.466180000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:15.491756000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:15.676070000 AEST","c8:3c:85:d5:7e:f0","", seclab
"Jul 26, 2019 13:27:15.777933000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:15.814510000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:15.847083000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:15.877000000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:16.149165000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:16.168392000 AEST","da:a1:19:36:96:97","", seclab
"Jul 26, 2019 13:27:16.178058000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:16.217191000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:16.279723000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:16.316041000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:16.358205000 AEST","f0:18:98:56:04:6c","", seclab
"Jul 26, 2019 13:27:16.378565000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:16.612560000 AEST","f0:18:98:56:04:6c","", seclab
"Jul 26, 2019 13:27:17.175283000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:27:17.291155000 AEST","08:d4:0c:f0:93:a8","uniwide", seclab
"Jul 26, 2019 13:27:17.293325000 AEST","08:d4:0c:f0:93:a8","", seclab
"Jul 26, 2019 13:27:17.707365000 AEST","c4:06:83:de:60:0d","", seclab
"Jul 26, 2019 13:27:17.727728000 AEST","c4:06:83:de:60:0d","", seclab
"Jul 26, 2019 13:27:17.758191000 AEST","c4:06:83:de:60:0d","", seclab
"Jul 26, 2019 13:27:17.777672000 AEST","c4:06:83:de:60:0d","", seclab
"Jul 26, 2019 13:27:21.425829000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:21.446562000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:21.469059000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:21.489408000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:21.512374000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:21.533083000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:21.556293000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:21.576684000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:22.070317000 AEST","da:a1:19:1b:fa:a4","eduroam", seclab
"Jul 26, 2019 13:27:22.115374000 AEST","da:a1:19:1b:fa:a4","", seclab
"Jul 26, 2019 13:27:22.139537000 AEST","da:a1:19:1b:fa:a4","eduroam", seclab
"Jul 26, 2019 13:27:22.139542000 AEST","da:a1:19:1b:fa:a4","", seclab
"Jul 26, 2019 13:27:22.165280000 AEST","da:a1:19:1b:fa:a4","eduroam", seclab
"Jul 26, 2019 13:27:22.401211000 AEST","da:a1:19:1b:fa:a4","", seclab
"Jul 26, 2019 13:27:22.472584000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:27:22.740937000 AEST","48:51:b7:e8:59:cc","", seclab
"Jul 26, 2019 13:27:22.775724000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:27:22.790530000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:27:23.322490000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:27:26.638771000 AEST","02:32:12:3b:55:97","", seclab
"Jul 26, 2019 13:27:27.051386000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:27.074380000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:27.096165000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:27.118852000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:27.138147000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:27:27.264779000 AEST","8c:85:90:39:55:09","uniwide", seclab
"Jul 26, 2019 13:27:27.277062000 AEST","8c:85:90:39:55:09","uniwide", seclab
"Jul 26, 2019 13:27:27.299720000 AEST","8c:85:90:39:55:09","uniwide", seclab
"Jul 26, 2019 13:27:27.506048000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:27:27.527240000 AEST","8c:f5:a3:12:8c:c9","uniwide", seclab
"Jul 26, 2019 13:27:27.898978000 AEST","4e:45:4e:fe:38:f5","", seclab
"Jul 26, 2019 13:27:29.486031000 AEST","f8:2d:7c:a3:87:04","eduroam", seclab
"Jul 26, 2019 13:27:29.875182000 AEST","da:a1:19:37:69:19","eduroam", seclab
"Jul 26, 2019 13:27:29.944465000 AEST","da:a1:19:37:69:19","eduroam", seclab
"Jul 26, 2019 13:27:29.945487000 AEST","da:a1:19:37:69:19","", seclab
"Jul 26, 2019 13:27:30.961565000 AEST","c6:19:53:21:b0:1b","", seclab
"Jul 26, 2019 13:27:30.976770000 AEST","c6:19:53:21:b0:1b","", seclab
"Jul 26, 2019 13:27:30.985380000 AEST","9c:b6:d0:ba:69:3d","uniwide", seclab
"Jul 26, 2019 13:27:31.069426000 AEST","9c:b6:d0:ba:69:3d","uniwide", seclab
"Jul 26, 2019 13:27:31.137173000 AEST","ac:1f:74:82:61:18","", seclab
"Jul 26, 2019 13:27:31.294342000 AEST","8c:85:90:39:55:09","", seclab
"Jul 26, 2019 13:27:31.364184000 AEST","4a:72:e7:b2:e8:c4","", seclab
"Jul 26, 2019 13:27:31.409081000 AEST","4a:72:e7:b2:e8:c4","", seclab
"Jul 26, 2019 13:27:31.430869000 AEST","4a:72:e7:b2:e8:c4","", seclab
"Jul 26, 2019 13:27:31.454187000 AEST","4a:72:e7:b2:e8:c4","", seclab
"Jul 26, 2019 13:27:31.790299000 AEST","a6:5e:c4:de:62:ac","", seclab
"Jul 26, 2019 13:27:31.925409000 AEST","a6:5e:c4:de:62:ac","", seclab
"Jul 26, 2019 13:27:32.358397000 AEST","da:a1:19:db:f9:9c","", seclab
"Jul 26, 2019 13:27:34.242982000 AEST","9c:b6:d0:ba:69:3d","uniwide", seclab
"Jul 26, 2019 13:27:35.937662000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:35.976887000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:27:36.188238000 AEST","8c:85:90:39:55:09","uniwide", seclab
"Jul 26, 2019 13:27:36.786486000 AEST","cc:44:63:6c:25:a7","uniwide", seclab
"Jul 26, 2019 13:27:37.158165000 AEST","b8:31:b5:78:07:02","", seclab
"Jul 26, 2019 13:27:37.161980000 AEST","b8:31:b5:78:07:02","", seclab
