"Jul 26, 2019 16:27:22.702376000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:27:23.100087000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:27:23.235515000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:27:23.328857000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:27:23.549002000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:27:23.922858000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:27:25.214052000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:25.254198000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:25.736015000 AEST","70:f0:87:d6:15:5b"
"Jul 26, 2019 16:27:26.202829000 AEST","c4:98:80:70:37:6c"
"Jul 26, 2019 16:27:26.221603000 AEST","c4:98:80:70:37:6c"
"Jul 26, 2019 16:27:26.745473000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:27:28.317176000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:28.327397000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:28.819637000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:28.835139000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:28.868578000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:28.893568000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:28.903831000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:28.980668000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:28.986429000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:29.928585000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:27:30.657119000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:27:31.055787000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:33.168599000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:33.179389000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:33.194738000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:33.204687000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:33.217542000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:33.227749000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:33.242760000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:33.911548000 AEST","1a:84:d8:9f:42:4a"
"Jul 26, 2019 16:27:33.933063000 AEST","1a:84:d8:9f:42:4a"
"Jul 26, 2019 16:27:33.954337000 AEST","1a:84:d8:9f:42:4a"
"Jul 26, 2019 16:27:33.974460000 AEST","1a:84:d8:9f:42:4a"
"Jul 26, 2019 16:27:33.997534000 AEST","1a:84:d8:9f:42:4a"
"Jul 26, 2019 16:27:34.017403000 AEST","1a:84:d8:9f:42:4a"
"Jul 26, 2019 16:27:34.039194000 AEST","1a:84:d8:9f:42:4a"
"Jul 26, 2019 16:27:34.059226000 AEST","1a:84:d8:9f:42:4a"
"Jul 26, 2019 16:27:34.082105000 AEST","1a:84:d8:9f:42:4a"
"Jul 26, 2019 16:27:34.838648000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:27:34.921195000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:27:34.930952000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:27:35.025205000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:27:36.068232000 AEST","40:33:1a:16:e8:77"
"Jul 26, 2019 16:27:36.237631000 AEST","08:f4:ab:8e:a5:78"
"Jul 26, 2019 16:27:37.637092000 AEST","70:f0:87:d6:15:5b"
"Jul 26, 2019 16:27:39.517634000 AEST","70:f0:87:d6:15:5b"
"Jul 26, 2019 16:27:40.127262000 AEST","3c:6a:a7:4f:24:3c"
"Jul 26, 2019 16:27:40.615739000 AEST","3c:6a:a7:4f:24:3c"
"Jul 26, 2019 16:27:41.691176000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:41.711846000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:42.239779000 AEST","70:f0:87:d6:15:5b"
"Jul 26, 2019 16:27:42.239790000 AEST","70:f0:87:d6:15:5b"
"Jul 26, 2019 16:27:43.303059000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:43.311293000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:43.963692000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:43.969606000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:43.984398000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:44.075734000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:44.089474000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:44.099637000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:49.931248000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:27:50.545709000 AEST","08:f6:9c:0f:93:ad"
"Jul 26, 2019 16:27:51.227804000 AEST","8c:85:90:81:77:6f"
"Jul 26, 2019 16:27:51.640921000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:51.651085000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:51.687472000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:51.697299000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:51.891758000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:51.901995000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:52.337680000 AEST","ce:81:04:88:03:15"
"Jul 26, 2019 16:27:52.357450000 AEST","ce:81:04:88:03:15"
"Jul 26, 2019 16:27:52.935513000 AEST","4e:35:2e:b9:d5:8a"
"Jul 26, 2019 16:27:53.641030000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:53.651743000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:53.954728000 AEST","d6:97:86:b1:32:64"
"Jul 26, 2019 16:27:53.997326000 AEST","d6:97:86:b1:32:64"
"Jul 26, 2019 16:27:54.017532000 AEST","d6:97:86:b1:32:64"
"Jul 26, 2019 16:27:54.060250000 AEST","d6:97:86:b1:32:64"
"Jul 26, 2019 16:27:54.082938000 AEST","d6:97:86:b1:32:64"
"Jul 26, 2019 16:27:54.103098000 AEST","d6:97:86:b1:32:64"
"Jul 26, 2019 16:27:54.332440000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:54.336535000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:54.416240000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:54.439930000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:27:56.931051000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:56.967497000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:56.990334000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:58.886951000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:59.555496000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:59.575718000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:00.965182000 AEST","40:33:1a:16:e8:77"
"Jul 26, 2019 16:28:01.457135000 AEST","b8:63:4d:54:a0:f8"
"Jul 26, 2019 16:28:01.465007000 AEST","b8:63:4d:54:a0:f8"
"Jul 26, 2019 16:28:06.037136000 AEST","94:65:2d:6e:c0:24"
"Jul 26, 2019 16:28:06.851491000 AEST","a6:25:02:1f:31:b9"
"Jul 26, 2019 16:28:06.892424000 AEST","f4:09:d8:30:ea:ff"
"Jul 26, 2019 16:28:06.916231000 AEST","40:33:1a:16:e8:77"
"Jul 26, 2019 16:28:06.938701000 AEST","40:33:1a:16:e8:77"
"Jul 26, 2019 16:28:07.099165000 AEST","40:33:1a:16:e8:77"
"Jul 26, 2019 16:28:07.225160000 AEST","8c:85:90:a4:a7:db"
"Jul 26, 2019 16:28:08.078437000 AEST","4a:e5:88:30:21:98"
"Jul 26, 2019 16:28:08.141745000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:08.161878000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:08.210079000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:08.239265000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:08.260604000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:08.341972000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:08.360337000 AEST","bc:3b:af:a5:ba:05"
"Jul 26, 2019 16:28:08.366865000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:08.387055000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:08.414093000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:08.933348000 AEST","64:cc:2e:65:13:0f"
"Jul 26, 2019 16:28:10.899555000 AEST","8c:85:90:bd:17:94"
"Jul 26, 2019 16:28:12.241968000 AEST","02:6e:51:91:bd:82"
"Jul 26, 2019 16:28:12.282380000 AEST","02:6e:51:91:bd:82"
"Jul 26, 2019 16:28:12.410191000 AEST","02:6e:51:91:bd:82"
"Jul 26, 2019 16:28:12.493015000 AEST","02:6e:51:91:bd:82"
"Jul 26, 2019 16:28:13.602867000 AEST","98:22:ef:97:70:77"
"Jul 26, 2019 16:28:14.894342000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:28:15.344346000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:28:16.145795000 AEST","8a:a0:46:6c:18:81"
"Jul 26, 2019 16:28:17.903963000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:28:18.192747000 AEST","a0:18:28:2a:f7:7a"
"Jul 26, 2019 16:28:18.202471000 AEST","a0:18:28:2a:f7:7a"
"Jul 26, 2019 16:28:18.452510000 AEST","3a:40:f9:77:3e:c9"
"Jul 26, 2019 16:28:18.611356000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:28:21.522124000 AEST","ac:0d:1b:ef:c0:57"
"Jul 26, 2019 16:28:23.616913000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:23.627146000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:24.275662000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:24.285863000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:24.300592000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:24.315657000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:24.381641000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:24.391750000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:24.416777000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:25.003835000 AEST","04:d6:aa:6d:85:0e"
"Jul 26, 2019 16:28:25.045481000 AEST","04:d6:aa:6d:85:0e"
"Jul 26, 2019 16:28:25.085708000 AEST","04:d6:aa:6d:85:0e"
"Jul 26, 2019 16:28:25.129373000 AEST","04:d6:aa:6d:85:0e"
"Jul 26, 2019 16:28:25.175226000 AEST","04:d6:aa:6d:85:0e"
"Jul 26, 2019 16:28:25.214435000 AEST","04:d6:aa:6d:85:0e"
"Jul 26, 2019 16:28:25.254661000 AEST","04:d6:aa:6d:85:0e"
"Jul 26, 2019 16:28:25.299457000 AEST","04:d6:aa:6d:85:0e"
"Jul 26, 2019 16:28:25.339648000 AEST","04:d6:aa:6d:85:0e"
"Jul 26, 2019 16:28:25.891677000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:28:25.912134000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:28:26.279369000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:28:27.362478000 AEST","b8:c1:11:1b:a7:59"
"Jul 26, 2019 16:28:27.457807000 AEST","f0:99:b6:43:ee:78"
"Jul 26, 2019 16:28:28.554614000 AEST","b8:c1:11:1b:a7:59"
"Jul 26, 2019 16:28:28.574857000 AEST","b8:c1:11:1b:a7:59"
"Jul 26, 2019 16:28:30.895702000 AEST","94:87:e0:1e:2a:9d"
"Jul 26, 2019 16:28:31.375600000 AEST","8c:85:90:bd:17:94"
"Jul 26, 2019 16:28:31.396652000 AEST","8c:85:90:bd:17:94"
"Jul 26, 2019 16:28:31.594005000 AEST","74:e5:43:38:fd:50"
"Jul 26, 2019 16:28:31.658004000 AEST","74:e5:43:38:fd:50"
"Jul 26, 2019 16:28:31.689161000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:28:31.932083000 AEST","74:e5:43:38:fd:50"
"Jul 26, 2019 16:28:32.257287000 AEST","2a:68:20:9f:3f:4b"
"Jul 26, 2019 16:28:32.277332000 AEST","2a:68:20:9f:3f:4b"
"Jul 26, 2019 16:28:32.324742000 AEST","2a:68:20:9f:3f:4b"
"Jul 26, 2019 16:28:32.808133000 AEST","36:2d:c4:3e:9a:58"
"Jul 26, 2019 16:28:32.828319000 AEST","36:2d:c4:3e:9a:58"
"Jul 26, 2019 16:28:32.855369000 AEST","36:2d:c4:3e:9a:58"
"Jul 26, 2019 16:28:32.876064000 AEST","36:2d:c4:3e:9a:58"
"Jul 26, 2019 16:28:32.919441000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:33.435059000 AEST","9c:b6:d0:f6:10:0b"
"Jul 26, 2019 16:28:33.540804000 AEST","9c:b6:d0:f6:10:0b"
"Jul 26, 2019 16:28:33.582209000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:33.596730000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:33.608507000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:33.646188000 AEST","9c:b6:d0:f6:10:0b"
"Jul 26, 2019 16:28:33.677786000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:33.687991000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:33.701786000 AEST","d8:1c:79:b3:52:9c"
"Jul 26, 2019 16:28:33.775169000 AEST","9c:b6:d0:f6:10:0b"
"Jul 26, 2019 16:28:33.831355000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:28:33.869753000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:28:34.222719000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:28:34.227122000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:28:34.518164000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:34.529243000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:34.556990000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:34.596693000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:34.688176000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:36.643331000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:28:36.880289000 AEST","d4:dc:cd:b9:40:38"
"Jul 26, 2019 16:28:37.028643000 AEST","d4:dc:cd:b9:40:38"
"Jul 26, 2019 16:28:37.035558000 AEST","d4:dc:cd:b9:40:38"
"Jul 26, 2019 16:28:38.364836000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:28:38.364846000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:28:38.375971000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:28:38.375982000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:28:38.721702000 AEST","dc:08:0f:31:ce:0c"
"Jul 26, 2019 16:28:38.731828000 AEST","dc:08:0f:31:ce:0c"
"Jul 26, 2019 16:28:38.807945000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:28:38.807953000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:28:39.026324000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:28:39.026334000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:28:39.293521000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:28:39.293546000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:28:41.749147000 AEST","2a:4c:3e:10:06:f2"
"Jul 26, 2019 16:28:41.770375000 AEST","2a:4c:3e:10:06:f2"
"Jul 26, 2019 16:28:42.761591000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:28:42.761600000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:28:42.761607000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:28:43.803481000 AEST","b8:b2:f8:7a:f7:7e"
"Jul 26, 2019 16:28:43.833421000 AEST","b8:b2:f8:7a:f7:7e"
"Jul 26, 2019 16:28:43.840649000 AEST","b8:b2:f8:7a:f7:7e"
"Jul 26, 2019 16:28:44.468394000 AEST","8a:b7:a5:c0:5f:65"
"Jul 26, 2019 16:28:44.490822000 AEST","8a:b7:a5:c0:5f:65"
"Jul 26, 2019 16:28:44.511858000 AEST","8a:b7:a5:c0:5f:65"
"Jul 26, 2019 16:28:44.539186000 AEST","8a:b7:a5:c0:5f:65"
"Jul 26, 2019 16:28:44.581124000 AEST","8a:b7:a5:c0:5f:65"
"Jul 26, 2019 16:28:44.632679000 AEST","8a:b7:a5:c0:5f:65"
"Jul 26, 2019 16:28:45.057627000 AEST","38:f9:d3:34:53:05"
"Jul 26, 2019 16:28:50.637311000 AEST","8c:85:90:32:8c:c7"
"Jul 26, 2019 16:28:50.648381000 AEST","8c:85:90:32:8c:c7"
"Jul 26, 2019 16:28:51.389015000 AEST","84:38:35:5a:23:e0"
"Jul 26, 2019 16:28:51.416279000 AEST","84:38:35:5a:23:e0"
"Jul 26, 2019 16:28:51.427507000 AEST","84:38:35:5a:23:e0"
"Jul 26, 2019 16:28:51.454845000 AEST","84:38:35:5a:23:e0"
"Jul 26, 2019 16:28:51.525811000 AEST","84:38:35:5a:23:e0"
"Jul 26, 2019 16:28:51.541880000 AEST","84:38:35:5a:23:e0"
"Jul 26, 2019 16:28:52.636037000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:28:52.676305000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:28:53.744713000 AEST","dc:08:0f:31:ce:0c"
"Jul 26, 2019 16:28:53.755328000 AEST","dc:08:0f:31:ce:0c"
"Jul 26, 2019 16:28:54.890970000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.890984000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.895350000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.896372000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.935602000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.935621000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.946711000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.946738000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.978959000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.978969000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.989457000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:54.989466000 AEST","8c:85:90:2b:30:58"
"Jul 26, 2019 16:28:58.640325000 AEST","e2:95:cd:0c:1e:f3"
"Jul 26, 2019 16:29:00.929110000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:29:00.949239000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:29:00.971916000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:29:00.992031000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:29:01.061999000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:29:01.083595000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:29:01.105063000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:29:01.125036000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:29:01.148236000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:29:01.168724000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:29:03.691289000 AEST","e4:9a:dc:2e:98:03"
"Jul 26, 2019 16:29:03.783035000 AEST","56:33:41:61:6d:0d"
"Jul 26, 2019 16:29:03.825236000 AEST","56:33:41:61:6d:0d"
"Jul 26, 2019 16:29:03.865588000 AEST","56:33:41:61:6d:0d"
"Jul 26, 2019 16:29:03.907909000 AEST","56:33:41:61:6d:0d"
"Jul 26, 2019 16:29:04.085871000 AEST","dc:08:0f:31:ce:0c"
"Jul 26, 2019 16:29:04.090160000 AEST","dc:08:0f:31:ce:0c"
"Jul 26, 2019 16:29:04.237308000 AEST","ac:0d:1b:ef:c0:57"
"Jul 26, 2019 16:29:04.325809000 AEST","ac:0d:1b:ef:c0:57"
"Jul 26, 2019 16:29:04.369485000 AEST","ac:0d:1b:ef:c0:57"
"Jul 26, 2019 16:29:04.416651000 AEST","ac:0d:1b:ef:c0:57"
"Jul 26, 2019 16:29:04.459021000 AEST","ac:0d:1b:ef:c0:57"
"Jul 26, 2019 16:29:05.996300000 AEST","e4:a7:a0:14:4e:c5"
"Jul 26, 2019 16:29:06.022435000 AEST","e4:a7:a0:14:4e:c5"
"Jul 26, 2019 16:29:06.046853000 AEST","e4:a7:a0:14:4e:c5"
"Jul 26, 2019 16:29:06.177634000 AEST","e4:a7:a0:14:4e:c5"
"Jul 26, 2019 16:29:06.309747000 AEST","e4:a7:a0:14:4e:c5"
"Jul 26, 2019 16:29:10.279357000 AEST","24:18:1d:0f:33:0e"
"Jul 26, 2019 16:29:10.299501000 AEST","24:18:1d:0f:33:0e"
"Jul 26, 2019 16:29:10.360387000 AEST","24:18:1d:0f:33:0e"
"Jul 26, 2019 16:29:10.449831000 AEST","24:18:1d:0f:33:0e"
"Jul 26, 2019 16:29:10.489613000 AEST","24:18:1d:0f:33:0e"
"Jul 26, 2019 16:29:10.537701000 AEST","24:18:1d:0f:33:0e"
"Jul 26, 2019 16:29:10.570527000 AEST","24:18:1d:0f:33:0e"
"Jul 26, 2019 16:29:11.378370000 AEST","a0:18:28:2a:f7:7a"
"Jul 26, 2019 16:29:11.392153000 AEST","a0:18:28:2a:f7:7a"
"Jul 26, 2019 16:29:11.400545000 AEST","a0:18:28:2a:f7:7a"
"Jul 26, 2019 16:29:12.560893000 AEST","9a:d7:06:5f:5a:4f"
"Jul 26, 2019 16:29:16.122702000 AEST","8c:fe:57:56:31:38"
"Jul 26, 2019 16:29:16.133045000 AEST","8c:fe:57:56:31:38"
"Jul 26, 2019 16:29:16.515608000 AEST","e4:9a:dc:2e:98:03"
"Jul 26, 2019 16:29:16.560541000 AEST","e4:9a:dc:2e:98:03"
"Jul 26, 2019 16:29:16.607052000 AEST","e4:9a:dc:2e:98:03"
"Jul 26, 2019 16:29:16.700418000 AEST","e4:9a:dc:2e:98:03"
"Jul 26, 2019 16:29:16.817408000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:29:16.959092000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:29:16.979539000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:29:17.063581000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:29:17.136454000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:29:17.199143000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:29:17.426752000 AEST","da:a1:19:2e:cb:61"
"Jul 26, 2019 16:29:18.775822000 AEST","64:cc:2e:65:13:0f"
"Jul 26, 2019 16:29:18.790986000 AEST","64:cc:2e:65:13:0f"
"Jul 26, 2019 16:29:19.079779000 AEST","64:cc:2e:65:13:0f"
"Jul 26, 2019 16:29:19.345389000 AEST","8c:85:90:81:77:6f"
"Jul 26, 2019 16:29:19.378559000 AEST","64:cc:2e:65:13:0f"
"Jul 26, 2019 16:29:19.393769000 AEST","64:cc:2e:65:13:0f"
"Jul 26, 2019 16:29:20.322811000 AEST","06:4d:99:ac:03:eb"
"Jul 26, 2019 16:29:20.385686000 AEST","06:4d:99:ac:03:eb"
"Jul 26, 2019 16:29:20.407992000 AEST","06:4d:99:ac:03:eb"
"Jul 26, 2019 16:29:20.428099000 AEST","06:4d:99:ac:03:eb"
"Jul 26, 2019 16:29:20.450743000 AEST","06:4d:99:ac:03:eb"
"Jul 26, 2019 16:29:20.473012000 AEST","06:4d:99:ac:03:eb"
"Jul 26, 2019 16:29:21.965423000 AEST","74:e5:43:38:fd:50"
"Jul 26, 2019 16:29:22.029629000 AEST","74:e5:43:38:fd:50"
"Jul 26, 2019 16:29:22.231979000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:29:22.710615000 AEST","74:e5:43:38:fd:50"
"Jul 26, 2019 16:29:22.865898000 AEST","34:08:bc:ba:34:cc"
"Jul 26, 2019 16:29:22.874381000 AEST","34:08:bc:ba:34:cc"
"Jul 26, 2019 16:29:23.244654000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:29:23.264069000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:29:23.286093000 AEST","c4:98:80:70:37:6c"
"Jul 26, 2019 16:29:23.307168000 AEST","c4:98:80:70:37:6c"
"Jul 26, 2019 16:29:24.434980000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:29:24.482980000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:29:24.607710000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:29:24.649657000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:29:24.689861000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:29:24.774756000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:29:24.855261000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:29:24.855269000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:29:24.855276000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:29:24.875942000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:29:26.893330000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:29:26.913579000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:29:30.459625000 AEST","98:22:ef:97:70:77"
"Jul 26, 2019 16:29:32.681568000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:29:32.798020000 AEST","e0:33:8e:76:4d:0a"
"Jul 26, 2019 16:29:32.811710000 AEST","e0:33:8e:76:4d:0a"
"Jul 26, 2019 16:29:34.485689000 AEST","ac:0d:1b:ef:c0:57"
"Jul 26, 2019 16:29:34.570959000 AEST","ac:0d:1b:ef:c0:57"
"Jul 26, 2019 16:29:40.074529000 AEST","b8:b2:f8:7a:f7:7e"
"Jul 26, 2019 16:29:40.094731000 AEST","b8:b2:f8:7a:f7:7e"
"Jul 26, 2019 16:29:40.142555000 AEST","b8:b2:f8:7a:f7:7e"
